id,bishop,year_consecrated,diocese,presiding_bishop,church
BAK,Gilbert Baker,,Hong Kong and Macao,,
BAN,Chiu Ban It,,Singapore,,
BOY,Laisch Boyd,,"Bahamas, Turks and Caicos",,
BRT,Tony Burton,,Saskatchewan,,
CAB,Daniel Pina Cabral,,Lebombo,,
CAS,William Cassels,,Western China,,
COR,Nigel Cornwall,,Borneo,,
DAL,John Daly,,Korea,,
ELA,Riah El-Assal,,Jerusalem,,
FYF,Rollestone Fyffe,,Rangoon,,
HAL,Ronald HAll,,"Victoria, Hong Kong, Macao",,
KIL,Robert Kilgour,,Aberdeen,,
LEA,Arthur Lea,,Kyushu,,
LYO,Frank Lyons,,Bolivia,,
MAR,William Markham,,York,,
MAY,Santosh Marray,,Sychelles,,
MIL,Harold Miller,,Down and Dromore,,
MOL,Herbert Molony,,Chekiang,,
MOO,John Moore,,Canterbury,,
MOS,Charles Moss,,Bath and Wells,,
MOU,George Moule,,Mid-China,,
NOR,Frank Norris,,North China,,
PET,Arthur Petrie,,Moray and Ross,,
POR,Beilby Porteus,,London,,
ROB,Basil Roberts,,Singapore,,
ROW,Francis Rowinski,,Polish National Catholic,,
SCO,Charles Scott,,North China,,
SHO,David Shoji Tani,,Okinawa,,
SKI,John Skinner,,Aberdeen,,
STE,Krister Stendhal,,Stockholm,,
THO,John Thomas,,Rochester,,
TSE,Lindel Tsen,,Honan,,
WAL,Francis Walsh,,Aberdeen,,
WIL,Cornelius Wilson,,Costa Rica,,
ZIE,Thaddeus F. Zielinski,,Polish National Catholic,,
1027a,Sylvestre Donato Romero-Palma,,Province of the West Indies,,
751,C. Shannon Mallory,,Central Africa,,
