commodity,measure,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630
best wheat,quarteranche,11.67,13.33,25,25,30,36.67,30,15,25.83,16.67,15,21,21,21,20,22.5,20,40,45,52,20,29,35,30,55,24,25,40,55,33,25,19,20,17,20,30,22,20,28,27,25,20,22,22,21,22,27,22.5,20,20,20,24,26,26,35,22.5,22.5,25,33,34,40,40,66
good wheat,quarteranche,10,10.83,22,20,27.08,30,25,12.5,16.67,14.16,13.33,18,18,17.5,16.67,20,16.5,35,40,46,16.5,25,30,25,50,20,20,35,50,30,23,16.5,17.5,15,17,27,17,17,25,24,22,17,19,19,18,19,24,20,18,17,18,22,24,23,30,19,20,21,28,20,35,35,60
mixed grain,quarteranche,8.33,8.33,18.33,18,25,25,20,10,12.5,11.67,11.67,15,15,14,14.16,17.5,13.33,30,35,38,13.33,20,25,20,45,15,15,30,40,24,19,12,14,12,14,24,15,14,17,18,18,15,16,15,15,16,22,18,15,14,15,18,20,18,23,15,16,16,24,24,30,30,55
rye,quarteranche,6.67,,14.33,14,22.5,21.67,16.67,8.33,8.33,9.17,8.33,11.67,11.67,11,10.83,15,10,25,30,34,12.5,15,20,15,37.5,13.33,13.33,25,35,22,15,8,10,9,12,20,13,11,13,14,15,13,15,14,13,13,20,17,13,12,12,15,17,15,20,13,14,14,19,22.5,25,26,50
barley,boisseau,4.17,6.67,10,9.5,16.67,16.67,11.67,8.5,6,5,7.08,7.5,7.5,8.33,7.5,11.67,7.5,16.5,18.33,25,7,8.33,14.167,10,22.5,10,8,13.67,25,17,9,6,10,6,7,12,8,7.5,8,7.5,9,9,8,8,8,8,12,11,10,8,8,10,10,11,13,10,8.5,9,13,16,18,16,35
oats,boisseau,3,4.17,5,5,8.33,7.5,5,5,5,4.16,6.67,5,5,7.5,5,6.67,5,8.33,9,13.33,5.5,5.5,7,6,10,6,5,8.33,12.5,12,7,5,10,4,5,8,6,6,6,5,7,7,7,6,6,6,6,7.5,8,6.5,7,7,6,8,9,8,7,7,9,10,9,9,18
hempseed,boisseau,6,,16.67,15,11.67,,16.67,18.33,15,11.67,,11.67,11.67,12.5,10.83,13.33,8.33,13.33,20,25,15,25,30,20,40,15,13.33,30,20,19,20,12,16,15,14,10,18,16,28,20,18,18,16,14,20,25,20,20,16,12,12,24,15,14,24,25,20,27.5,22,30,20,20,40
peas,boisseau,11.67,13.33,18.33,17,27.67,30,25,14.19,15,10.83,15,18,18,20,20,22.5,20,30,35,50,20,29,33.33,25,35,20,15,40,40,30,23,14,17.5,17,20,30,22,20,20,15,20,20,22,22,21,20,20,22.5,20,20,18,20,20,19,28,22.5,22,22,28,30,40,35,60
beans,boisseau,11.67,11.67,18.33,7,26.67,30,20,13.33,15,10,12.5,13.33,13.33,18,16.67,16.67,16.5,25,30,25,18,21.5,30,20,30,16.67,13.33,30,25,20,23,12,12,12,20,20,18,16.5,18,12,18,18,15,16,18,17,15,18,18,15,13,15,16,16,20,18,18,16,18,20,24,20,40
lentils,boisseau,,,12,12,23.33,,16.67,,,,,,,,,,,,,,,,,,,16.67,13.33,30,30,16,23,10,12,12,14,20,12,10,15,10,16,18,16,15,15,15,13,16,16,16,16,16,15,15,20,18,16,16,20,20,35,22,40
rapeseed,boisseau,,,22.08,22,27.67,,30,25,15,13.33,30,20,20,30,27.5,33.33,20,25,20,40,40,50,50,40,50,22,25,50,45,27,35,25,28,28,22,32,18,27,,27,38,28,30,32,32,36,40,30,30,24,25,24,26,28,30,36,40,35,40,34,40,35,60
Dijon best wine,queue,280,440,240,560,600,1200,800,320,700,600,480,480,440,360,320,320,320,480,900,1200,1200,1140,1200,660,720,600,600,1080,960,960,1200,480,450,900,1440,800,360,420,900,1320,1400,1500,420,320,700,1080,960,720,420,800,600,660,900,600,1080,780,560,720,960,680,1440,540,400
village best wine,queue,260,360,120,460,440,800,600,240,500,500,360,340,280,280,220,240,240,360,780,900,840,840,900,480,540,420,420,800,720,720,900,240,330,600,960,540,480,300,600,900,960,1000,320,240,440,720,640,480,300,540,400,480,600,400,660,540,400,500,720,460,960,360,280
village good wine,queue,200,360,120,380,400,800,600,240,400,500,280,280,240,200,180,200,180,300,660,800,660,660,780,400,480,360,360,720,600,540,720,180,240,420,720,480,200,240,480,720,800,720,240,200,380,600,500,400,240,480,360,400,480,320,560,440,320,400,600,360,720,320,210
walnut oil,pint,,,10,9,9.5,,12.5,11.67,13.33,6.67,9.16,10,10,15,,10,7.5,15,20,15,13.33,17.5,20,20,30,10,13.33,20,20,13.33,13.33,10,10,15,17.5,8,9,15,,20,25,20,20,15,16,20,16,16,15,16,14,15,16,16,16,16,16,18,18,16,16,16,18
rapeseed oil,pint,,,12.08,10,9.6,,12.5,11.67,13.33,8.33,10.83,8.33,8.3,10,8.33,10,7.5,13.33,20,16,12.5,20,22.5,18,25,10,12.5,20,20,13.33,13.33,8.33,13,15,15,12,10,12,18,17,16,15,14,16,12,13,13,12,12,13,12,12,13,12,14,18,16,16,15,15,16,16,18
hempseed oil,pint,,,11.67,9,8.33,,11.67,10,13.33,8.33,,,,9,,10.83,7.5,,13.33,,13.33,17.5,20,22.5,24,12,12.5,18,15,13.33,13.33,8,14,12,11,8,10,12,,15,14,10,14,12,14,16,14,14,12,13,10,15,12,12,13,18,14,16,15,14,12,12,20
wax,pound,,,,,,,,11.67,12,12,11.67,12,12,12,12,13,13,10,12,12,12.5,13.33,14,15,15,12,15,12,,,,,,,,,,,,,,15,,20,20,20,18,15,16,20,18,18,17,16,16,15,16,16,16,16,16,16,18
chickpeas,boisseau,,,,,,,,,,,10.83,6,6,,,,,,,20,16.67,17.5,20,20,20,10,15,18,30,20,,,20,15,15,15,10,10,,10,15,15,16,15,15,14,12,12,12,12,12,13,12,12,14,12,12,12,15,15,18,16,35
