type,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630
AMD reference,"B 205, f.95v","B 206, f.126","B 207, f. 116","B 209, f.122","B 210, f.132","B 211, f.83v","B212, f.110v","B213, f.94","B208, f.121","B214, f.99v","B216, f.75","B215, f.212v","B218, f.42","B219, f.81","B220, f.74v","B221, f.90v","B222, f.85v","B223, f.99","B224, f.170v","B225, f.158","B226, f.121","B227, f.204v","B228, f.202","B229, f.129v","B230, f.208","B231, f.112","B232, f.144","B233, f.209","B234, f.138v","B235, f.136","B236, f.152v","B237, f.60","B238, f.161v","B239, f.166v","B240, f.198v","B241, f.165","B242, f.131","B243, f.143v","B244, f.164","B245, f.162","B246, f.144v","B247, f.185v",B248. f.158,"B249, f.59","B250, f.124","B251, f.133v","B252, f.148","B253, f.183v","B254, f.136","B255, f.136","B256, f.173v","B257, f.148","B258, f.156v","B259, f.137v","B260, f.124","B261, f.163","B262, f.122","B263, f.133v","B264, f.128v","B265, f.130v","B266, f.157v","B267, f.114","B268, f.108"
Date,17/12/68,10/2/70,19/12/70,16/2/72,27/2/73,17/11/73,26/11/74,25/11/75,29/11/76,3/12/77,5/12/78,1/12/79,29/11/80,1/12/81,27/11/82,22/11/83,27/11/84,22/11/85,20/12/86,8/1/88,9/12/88,19/1/90,30/4/91,20/12/91,21/1/93,3/12/93,18/11/94,19/12/95,10/12/96,18/11/97,27/11/98,22/11/99,28/11/00,22/11/01,5/12/02,28/11/03,25/11/04,22/11/05,12/12/06,7/12/07,28/11/08,1/12/09,26/11/10,29/11/11,29/11/12,22/11/13,21/11/14,28/11/15,22/11/16,21/11/17,20/11/18,22/11/19,27/11/20,26/11/21,22/11/22,28/11/23,19/11/24,21/11/25,24/11/26,7/12/27,4/12/28,29/11/29,26/11/30
